Q2,Q7,Q8,Q9,Q10,Q11
Please enter your participant ID,Which two cereals have the highest sugars?,Which is the cereal that has the most fiber?,Which are the two manufacturers (mfr) that make the highest vitamin cereals?,Name one of the two cereals that have a rating of less than 20?,Which cereal has a sodium value of over 250 *and* sugars over 5?
3001,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3002,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3006,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3007,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3008,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",cheerios
3009,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3010,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3011,GC,All-Bran,cant find,"Cap'n'Crunch, Cinnamon Toast Crunch",there is no
3013,GC,All-Bran,"total raisin bran, total whole grain","apple cinnamon cheerios, total raisin bran","honey nut cheerios, all-bran"
3015,GC,almont delight,"just right crunchy nuggets, just right fruits nuts",total raisin bran,"this link on github, not working right. i cant remove the filters"
3016,GC,All-Bran,Total and Just Right,"Cap'n'Crunch, Cinnamon Toast Crunch",All-bran
3018,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3019,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3029,I cant find it,I dont understand this section well,I could not get it,I did not understand it,I could not get it
3031,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3032,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3037,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3038,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3039,GC,All-Bran,"G,K",none,All-Bran
3040,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
3043,GC,All-Bran,ı dont know ı cant see the names,no idea,no idea
4005,I could not reach the true graph,I Could not find it,I Could not find it,I Could not find it,I Could not find it
4006,GC,Smacks,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4007,GC,All-Bran,Just Right Crunchy Nuggets Just Right Fruit & Nut,"Cap'n'Crunch, Cinnamon Toast Crunch","Honey nut Cheerios, Golden crahams"
4009,"Apple Jack, Post Nat. Raisen Bran",All-Bran,"G,K",There are no Cereals with this feature,Golden Grahams
4010,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4012,GC,All-Bran,"G,K",there is no  any cereals less than 20,"kix,cheerios"
4014,GC,All-Bran,"Just Right Crunchy Nuggets, Just Right Fruit & Nut, Product 19, Total Corn Flakes, Total Raisin Bran, Total Whole Grain","Cap'n'Crunch, Cinnamon Toast Crunch",All-Bran Golden Grahams Honey Nut Cheerios
4015,total raisin bran,All-Bran,total raisin bran,"Cap'n'Crunch, Cinnamon Toast Crunch",sodium 250 sugar 5 
4016,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4018,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4020,GC,All-Bran,"Just Right Crunchy  Nuggets, Just Right Fruit & Nut, ","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4022,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Cheerios
4023,GC,All-Bran,K-N,"Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4025,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4031,not sure,not sure,not sure,not sure,not sure
4032,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4033,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4037,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4038,apple jacks - post nat. raisin bran - total raisin bran there were 3 option for this question,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4039,GC,All-Bran,"Just Right Crunchy  Nuggets, Total Corn Flakes","Cap'n'Crunch, Cinnamon Toast Crunch",Honey Nut Cheerios
4040,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
4046,GC,All-Bran,"G,K",i dont sure,Golden Grahams
6005,GC,All-Bran,Just Right and Product 19,"Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
5007,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
5003,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
5004,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
6001,Golden Crisp and Raisin Bran,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",All-Bran
5001,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
5006,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
6007,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
6006,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
5002,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
6002,GC,All-Bran,Almond Delight & Muesli Raisins; Dates & Almonds,"Cap'n'Crunch, Cinnamon Toast Crunch",All-Bran
6004,GC,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
6008,Golden Crisp and Post Nat Raisin Bran,All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
6003,"Apple cinnamon, Smacks",All-Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams
5005,GC,Post Nat. Raisin Bran,"G,K","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams